time,car_x,car_speed,car_acc,min_ttc,collision
0.0,25.290000000000003,8.0,0.0,inf,False
0.050505050505050504,24.890000000000004,8.0,0.0,inf,False
0.10101010101010101,24.490000000000006,8.0,0.0,1.5056250000000004,False
0.15151515151515152,24.090000000000007,8.0,0.0,1.4556250000000006,False
0.20202020202020202,23.69000000000001,8.0,0.0,1.4056250000000008,False
0.25252525252525254,23.29000000000001,8.0,0.0,1.355625000000001,False
0.30303030303030304,22.89000000000001,8.0,0.0,1.3056250000000011,False
0.35353535353535354,22.490000000000013,8.0,0.0,1.2556250000000013,False
0.40404040404040403,22.090000000000014,8.0,0.0,1.2056250000000015,False
0.45454545454545453,21.690000000000015,8.0,0.0,1.1556250000000017,False
0.5050505050505051,21.290000000000017,8.0,0.0,1.1056250000000019,False
0.5555555555555556,20.89000000000002,8.0,0.0,1.055625000000002,False
0.6060606060606061,20.49000000000002,8.0,0.0,1.0056250000000022,False
0.6565656565656566,20.09000000000002,8.0,0.0,0.9556250000000024,False
0.7070707070707071,19.690000000000023,8.0,0.0,0.9056250000000026,False
0.7575757575757576,19.290000000000024,8.0,0.0,0.8556250000000027,False
0.8080808080808081,18.890000000000025,8.0,0.0,0.8056250000000029,False
0.8585858585858586,18.490000000000027,8.0,0.0,0.7556250000000031,False
0.9090909090909091,18.09000000000003,8.0,0.0,0.7056250000000033,False
0.9595959595959596,17.69000000000003,8.0,0.0,0.6556250000000035,False
1.0101010101010102,17.29500000000003,7.9,-2.0,0.6132911392405099,False
1.0606060606060606,16.90500000000003,7.800000000000001,-2.0,0.5705128205128243,False
1.1111111111111112,16.520000000000028,7.700000000000001,-2.0,0.527272727272731,False
1.1616161616161615,16.14000000000003,7.600000000000001,-2.0,0.4835526315789509,False
1.2121212121212122,15.765000000000029,7.500000000000002,-2.0,0.439333333333337,False
1.2626262626262625,15.395000000000028,7.400000000000002,-2.0,0.39459459459459834,False
1.3131313131313131,15.030000000000028,7.3000000000000025,-2.0,0.3493150684931543,False
1.3636363636363635,14.670000000000028,7.200000000000003,-2.0,0.30347222222222586,False
1.4141414141414141,14.315000000000028,7.100000000000003,-2.0,0.2570422535211305,False
1.4646464646464645,13.965000000000028,7.0000000000000036,-2.0,0.2100000000000038,False
1.5151515151515151,13.620000000000028,6.900000000000004,-2.0,0.16231884057971405,False
1.5656565656565655,13.280000000000028,6.800000000000004,-2.0,0.11397058823529801,False
1.6161616161616161,12.945000000000027,6.700000000000005,-2.0,0.06492537313433236,False
1.6666666666666667,12.615000000000027,6.600000000000005,-2.0,0.015151515151519123,False
1.7171717171717171,12.290000000000026,6.500000000000005,-2.0,0.03538461538461132,False
1.7676767676767677,11.970000000000026,6.400000000000006,-2.0,0.08671874999999599,False
1.8181818181818181,11.655000000000026,6.300000000000006,-2.0,0.13888888888888481,True
1.8686868686868687,11.345000000000026,6.200000000000006,-2.0,0.19193548387096346,True
1.9191919191919191,11.040000000000026,6.100000000000007,-2.0,0.24590163934425793,True
1.9696969696969697,10.740000000000025,6.000000000000007,-2.0,0.3008333333333288,True
2.0202020202020203,10.445000000000025,5.9000000000000075,-2.0,0.3567796610169446,True
2.0707070707070705,10.155000000000024,5.800000000000008,-2.0,0.4137931034482711,True
2.121212121212121,9.870000000000024,5.700000000000008,-2.0,0.4719298245613987,True
2.1717171717171717,9.590000000000023,5.6000000000000085,-2.0,0.531249999999995,True
2.2222222222222223,9.315000000000023,5.500000000000009,-2.0,0.5918181818181768,True
2.2727272727272725,9.045000000000023,5.400000000000009,-2.0,0.6537037037036986,True
2.323232323232323,8.780000000000022,5.30000000000001,-2.0,0.7169811320754662,True
2.3737373737373737,8.520000000000023,5.20000000000001,-2.0,0.7817307692307636,True
2.4242424242424243,8.265000000000022,5.10000000000001,-2.0,0.8480392156862685,True
2.474747474747475,8.015000000000022,5.000000000000011,-2.0,0.9159999999999938,True
2.525252525252525,7.770000000000021,4.900000000000011,-2.0,0.9857142857142792,True
2.5757575757575757,7.52500000000002,4.900000000000011,0.0,1.0357142857142791,True
2.6262626262626263,7.280000000000019,4.900000000000011,0.0,1.0857142857142794,True
2.676767676767677,7.035000000000018,4.900000000000011,0.0,1.1357142857142795,True
2.727272727272727,6.790000000000017,4.900000000000011,0.0,1.1857142857142795,True
2.7777777777777777,6.545000000000016,4.900000000000011,0.0,1.2357142857142795,True
2.8282828282828283,6.300000000000015,4.900000000000011,0.0,1.2857142857142798,True
2.878787878787879,6.055000000000014,4.900000000000011,0.0,1.3357142857142799,True
2.929292929292929,5.810000000000013,4.900000000000011,0.0,1.38571428571428,True
2.9797979797979797,5.565000000000012,4.900000000000011,0.0,1.43571428571428,True
3.0303030303030303,5.320000000000011,4.900000000000011,0.0,1.48571428571428,True
3.080808080808081,5.07500000000001,4.900000000000011,0.0,1.5357142857142803,True
3.131313131313131,4.830000000000009,4.900000000000011,0.0,1.5857142857142803,True
3.1818181818181817,4.585000000000008,4.900000000000011,0.0,1.6357142857142803,True
3.2323232323232323,4.340000000000007,4.900000000000011,0.0,1.6857142857142804,True
3.282828282828283,4.095000000000006,4.900000000000011,0.0,1.7357142857142804,True
3.3333333333333335,3.8500000000000054,4.900000000000011,0.0,1.7857142857142807,True
3.3838383838383836,3.605000000000005,4.900000000000011,0.0,1.8357142857142807,True
3.4343434343434343,3.3600000000000043,4.900000000000011,0.0,1.8857142857142803,True
3.484848484848485,3.1150000000000038,4.900000000000011,0.0,1.9357142857142806,True
3.5353535353535355,2.870000000000003,4.900000000000011,0.0,1.9857142857142807,True
3.5858585858585856,2.6250000000000027,4.900000000000011,0.0,2.0357142857142807,True
3.6363636363636362,2.380000000000002,4.900000000000011,0.0,2.085714285714281,True
3.686868686868687,2.1350000000000016,4.900000000000011,0.0,2.1357142857142803,True
3.7373737373737375,1.890000000000001,4.900000000000011,0.0,inf,True
3.7878787878787876,1.6450000000000005,4.900000000000011,0.0,inf,True
3.8383838383838382,1.4,4.900000000000011,0.0,inf,True
3.888888888888889,1.1549999999999994,4.900000000000011,0.0,inf,True
3.9393939393939394,0.9099999999999988,4.900000000000011,0.0,inf,True
3.9898989898989896,0.6649999999999983,4.900000000000011,0.0,inf,True
4.040404040404041,0.4199999999999977,4.900000000000011,0.0,inf,True
4.090909090909091,0.17499999999999716,4.900000000000011,0.0,inf,True
4.141414141414141,0.0,4.900000000000011,0.0,inf,True
4.191919191919192,0.0,4.900000000000011,0.0,inf,True
4.242424242424242,0.0,4.900000000000011,0.0,inf,True
4.292929292929293,0.0,4.900000000000011,0.0,inf,True
4.343434343434343,0.0,4.900000000000011,0.0,inf,True
4.393939393939394,0.0,4.900000000000011,0.0,inf,True
4.444444444444445,0.0,4.900000000000011,0.0,inf,True
4.494949494949495,0.0,4.900000000000011,0.0,inf,True
4.545454545454545,0.0,4.900000000000011,0.0,inf,True
4.595959595959596,0.0,4.900000000000011,0.0,inf,True
4.646464646464646,0.0,4.900000000000011,0.0,inf,True
4.696969696969697,0.0,4.900000000000011,0.0,inf,True
4.747474747474747,0.0,4.900000000000011,0.0,inf,True
4.797979797979798,0.0,4.900000000000011,0.0,inf,True
4.848484848484849,0.0,4.900000000000011,0.0,inf,True
4.898989898989899,0.0,4.900000000000011,0.0,inf,True
4.94949494949495,0.0,4.900000000000011,0.0,inf,True
5.0,0.0,4.900000000000011,0.0,inf,True
